"AceA" "AceA_fungi" "AceB" "AceB_fungi" "Acetylglucosaminidase" "Alpha_galactosidase_fungi" "AmyA" "Amyx" "Ara" "Axe" "Cda" "Cdh" "Cellobiase" "Chitin_deacetylase_fungi" "Chitinase" "Cutinase" "Endoglucanase" "Endopolygalacturonase_fungi" "Exoglucanase" "Exopolygalacturonase_fungi" "Glucoamylase" "Glx" "Inulinase" "Isopullulanase" "Lactase_fungi" "Ligninase" "Limeh" "Lmo" "Mannanase" "Mnp" "NplT" "Pec_Cdeg" "Pectinase (pectate_lyase)" "Pel_Cdeg" "Phenol_oxidase" "Phospholipase_A2_fungi" "Phospholipase_C_fungi" "Phospholipase_D_fungi" "Pme" "Pme_Cdeg" "Pula" "RgaE" "Rgh" "Rgl" "Tannase_Cdeg" "Vana" "Vdh" "Xylanase"
"12N2016" 191.913747934822 19.7449415733069 364.111156862909 17.8259658747162 254.319882351502 39.8458259028299 1860.33119568042 0 250.015961392882 25.1442426120765 165.363562524283 41.5445385129035 233.461869243658 21.2099022378982 696.968498907702 149.009343888758 174.032090627182 19.9553111672471 63.9178071104794 38.9604513093591 82.3561902148265 76.0343616083566 0 12.1089784181086 24.5110357262413 23.6137609950469 72.2905162195784 10.8994854741078 122.938178283337 39.0917940110439 70.6870091019025 53.7786287682857 55.3270480129082 5.1655023806644 223.679633507609 40.0299670429746 45.9634002224011 30.3881541791684 90.0713678983093 16.1374505619567 118.889053704489 82.0492378041218 25.1961526721833 86.1704906526645 30.8412156178226 154.648664621442 48.7991379909081 233.662538057227
"12N2017" 189.803191609902 19.0763301044319 370.776235191408 21.3002276264391 257.267013774455 33.8504683556003 1859.42113940122 0 276.241044129274 22.7656858485316 155.300605514373 43.9737509114556 253.947654125348 20.9442770178727 732.24986910329 153.370641578878 195.568764636847 18.1100696083311 60.2772610451768 36.7000888128528 93.0310600823415 66.0583891102514 4.49388878409139 11.7383705125376 34.0867865116478 27.1183875584941 83.9554833195359 10.4525569902551 112.938914295766 33.3133396086028 65.4889391215865 52.1718136725286 57.6231215044131 5.10566731914379 237.287814144518 38.0262622842311 47.7751077108782 28.8132566527442 85.5144686779619 32.4892647380745 121.692321636448 96.2817594819176 24.0376716850505 96.6390154705063 29.8729144590138 139.376923552763 51.3686109669788 274.478290719655
"12N2018" 162.167910365359 23.2332467225378 347.494558416996 14.2945132492103 255.3348882132 34.9682969249735 1833.23399223902 0 236.794513260834 31.1506434231262 147.706106111175 28.4033315883338 213.574445713248 8.47094026490333 604.77021877859 152.341655431578 173.004969930689 14.6242127451516 63.7083072295066 28.9453307686508 95.7071507269718 57.7917003966937 0 16.2477492719116 6.80101713295959 36.6560609871101 96.1630265821603 7.83881104960655 74.789276661041 39.339124265813 91.6735036108795 43.6216770639174 61.8597130275338 6.43988347550549 216.379479847449 47.2014928905109 32.1555616426856 14.4175467923439 92.132217824744 8.75556785197378 100.208517286257 85.3672038090537 14.3847070699401 69.0472260611932 39.3462100044527 142.004103363235 52.5381730371474 178.54634089728
"14N2016" 178.978946634154 22.0860646842854 359.454466201894 24.645988618787 254.503297450812 33.9305405192426 1820.3396706149 0 225.513057818936 29.8875950327133 163.003219749267 40.5726526024244 207.709016633288 19.5762039192899 639.198086482988 141.351360752219 190.286754799653 17.2257445676287 61.4037576334206 32.5903548918179 102.689867947261 74.6002475816902 0 13.4269214399546 17.5551170804438 31.1820020960516 69.8406240881482 7.06149401807954 109.990546325741 40.520908135193 66.7024620088304 58.7482559319168 61.5574982121905 5.36648596324322 176.946904497906 44.8742809423806 35.9733332335525 29.5210330658403 92.539097524168 12.975047712212 123.315017976197 90.4205809384663 34.2622347232194 75.7326363685081 33.2338394733411 151.117900231884 48.6825567613638 235.364415428986
"14N2017" 196.058035214174 25.4432975635065 336.184523586747 18.1854303046215 232.352315761287 41.8996676893324 1828.0216536221 0 241.003520398895 25.3494402487856 171.715837570653 42.9822397948254 219.609915474987 27.3529977759784 648.876704721233 153.248551692826 185.700784421691 20.5820912561082 84.8191523484021 39.8860333363219 102.851332207179 69.1479996517095 0 12.6921342220182 20.0433931238324 30.0258859574293 78.3969566535954 10.9857280723049 111.420152695071 43.1339224028034 70.4312274654212 54.7718741057246 57.0435104863825 5.33622942251619 213.61907091554 40.9459280358896 41.7570377776771 31.7574558994935 97.0243348430973 12.2175621541811 102.819144242846 84.3976967542509 26.7107465765585 54.8644109747643 30.1669020883148 155.796515792603 49.4869879235554 251.589978886341
"14N2018" 182.082414678018 21.9027634477817 384.646877281642 19.9859190104559 228.09804376412 24.0565156312702 1785.71709111516 0 225.603793424194 28.143301837751 181.229826636478 36.9471104809554 221.950017007144 13.7163946249204 606.329595725737 141.717678710926 173.971793590767 6.15093315104015 61.3555723922278 27.1028010368236 88.0203163553367 69.8574130558684 5.48990759427181 13.5121120007739 11.193891400301 33.1853504506173 77.4892252763235 14.5075173625576 113.871890434306 45.7401620247511 61.9574016446002 45.0357324518308 57.6307636564525 6.13244560339951 180.746582989339 45.2279443608966 35.5967233990888 7.66084996367065 96.0937395028843 7.60672298043461 105.701750314652 75.7702475063047 18.1452946422467 62.4917064789121 34.1537578054929 156.795731575418 55.9365352410543 217.263747055472
"17N2016" 198.169043850543 22.4129223958502 386.457263377054 20.7034729713686 297.277826474023 34.3689923337442 1955.53542903372 0 273.358238679165 21.9267463951872 166.813175684652 42.0766916170006 258.837776230733 19.776353232263 744.800548624764 148.215769275729 203.082379434384 22.1261340570424 73.1668572687599 40.096612848691 105.256269672964 78.0968878654087 3.66159264393678 11.6179666881161 25.8202735147642 25.4662641030967 83.8403646252654 10.30471308917 120.64446161862 37.5037532009015 68.6739081684395 60.8749452245141 54.6628997311337 4.71739924862711 245.169031047819 37.0533537901962 53.1709969991585 35.9025397388631 93.6374511616545 29.4637548339176 111.367383974087 92.5372080713414 27.5633905901858 92.9646298808264 28.1813699843106 156.191193116918 49.399253132371 266.835921719011
"17N2017" 199.72131159685 22.8906026983764 364.64473464453 20.4066077224888 290.806576159066 29.1603844626841 1904.14562542982 0 279.40556557587 21.9709111336575 166.23689123721 43.3035934230426 255.257397598842 24.3911814152047 726.37588846189 143.864600827039 196.642330586192 18.0129936659157 72.2295823776536 40.494513239426 101.299068374199 76.9694285700279 0 11.3338104538588 22.5054485536894 26.1267148527376 83.7100669350124 10.2505781631352 109.718836663582 37.4628258095568 67.9458602179167 65.0610522588793 59.7383313575788 4.68546308848111 252.449897880651 37.3089144159699 48.2965701964684 28.3428928854723 81.1895356419451 27.0496387630974 117.92115431645 92.1243284013132 26.4660681275388 83.3832802277896 28.3785579366877 155.024938297095 49.3240791752439 270.091926693452
"17N2018" 186.138240104079 23.8059121100038 370.617407923672 21.3952997790629 257.973622558268 36.3089204907956 1883.97026502742 0 252.256860479585 26.0147261823517 170.125584567406 44.3521918594452 245.804594802477 15.8925172625587 670.209840847032 166.502989059204 199.648028176139 16.1452856933439 72.9013326320419 33.0423223527054 112.127102386416 72.6066126603123 0 12.7229058691718 30.4115700238481 30.1497947626385 91.9928574474778 10.6723416029831 109.265487106698 34.9034631603779 70.1673819807178 47.0776543826062 56.343695176008 4.9917639069153 246.538045354207 33.6634350797517 44.6823137944242 31.0829566616551 87.7535603482883 17.9292931871018 116.879660316847 87.8754890254511 15.2984999409351 88.7198553346387 28.8303054515711 139.251595195987 54.4869746085877 245.524616702432
"9N2016" 189.622312509369 20.1676714384416 347.760961177437 23.2264010640129 255.530127324425 33.9116418152718 1833.85751313431 0 264.459156637425 24.2331002704324 160.522016851788 41.5436195503324 243.746260596016 16.9110289931959 734.493848137244 158.794094968583 203.571474213684 19.9068810550324 61.5453466995939 39.0717897596314 95.6034017722768 64.191375709899 4.41763924623851 12.1511027650098 27.4178624534566 28.3584463737667 84.2843940635961 10.8509711322847 115.37279437376 38.7704719953335 72.9982019064131 47.0657501793765 49.8795161751988 5.16699087594426 227.598159176538 39.0244753119832 45.0328333311862 31.2585703965649 97.2742775741881 25.5126572093388 114.484625291168 91.2166023319499 19.8384141757031 89.7470900707489 31.993540391279 141.168654873406 48.6001083672619 247.072028378469
