"","OTU.ID","hit","size","GC"
"1","Zotu1",6.33333333333333,9.68238416666667,62.2537716522902
"2","Zotu10",3,7.55129,63.4559
"3","Zotu100",1,4.49088,57.3
"4","Zotu1000",1,3.45829,68.1
"5","Zotu10000",1,3.45829,68.1
"6","Zotu10001",2,4.71655,64.4
"7","Zotu10002",2,5.17909,65.1
"8","Zotu10003",1,6.974645,68.7303742341008
"9","Zotu10004",2,9.53209,63.0023
"10","Zotu10005",2,3.82305,67.7
"11","Zotu10006",1,6.27111,55.8
"12","Zotu10007",2,5.3391,70.6
"13","Zotu10008",5,3.17201,65.5
"14","Zotu10009",13.3333333333333,8.74069,58.3330401833265
"15","Zotu1001",6.66666666666667,6.52943333333333,66.3383661675592
"16","Zotu10010",1,4.07762,70.9310891320591
"17","Zotu10011",1,0.886990833333333,49
"18","Zotu10012",5,6.44369,55
"19","Zotu10013",8.5,4.27376,57.2509137185991
"20","Zotu10014",1,2.74695,69.9
"21","Zotu10015",1,4.19928,66.5
"22","Zotu10016",2,2.83319,47.8174
"23","Zotu10017",4,5.31978,69.8428
"24","Zotu10019",1,2.28735,51.9
"25","Zotu1002",2,4.001,61.3
"26","Zotu10020",4,3.03037,42.4363
"27","Zotu10021",2,4.00006,40.2
"28","Zotu10022",2,5.337075,53.760305693287
"29","Zotu10023",1,5.65037,58.4
"30","Zotu10024",2,9.53209,63.0023
"31","Zotu10025",1,6.33369,58.6
"32","Zotu10026",1,4.15577,42.1
"33","Zotu10027",2,6.44369,55
"34","Zotu10028",1,0.886990833333333,49
"35","Zotu10029",1,1.22228,38.3
"36","Zotu1003",1,6.44369,55
"37","Zotu10030",2,2.78337,58.9
"38","Zotu10031",1,3.80869,59.7
"39","Zotu10032",1,8.360405,72.4
"40","Zotu10034",10,4.85531333333333,52.6547156298186
"41","Zotu10035",4,3.2721,39.4
"42","Zotu10036",1,2.07101,65.5
"43","Zotu10037",1,1.66679,55.6
"44","Zotu10038",3,4.47354,64.6513
"45","Zotu10039",4,7.900895,62.8665452755669
"46","Zotu1004",1,5.65037,58.4
"47","Zotu10040",6.75,7.2598225,67.4322014619848
"48","Zotu10041",2,4.001,61.3
"49","Zotu10042",5,12.3201,69.4
"50","Zotu10043",1,4.49088,57.3
"51","Zotu10044",2,3.32219,42
"52","Zotu10045",2,8.44277,65.6
"53","Zotu10046",2,5.17909,65.1
"54","Zotu10047",2,6.16886,69.9
"55","Zotu10048",5,9.59519,72.4868350581489
"56","Zotu10049",2.6,5.814644,70.8317577739927
"57","Zotu1005",1,5.22419,70.2
"58","Zotu10050",3,7.59593,59.8741
"59","Zotu10051",6,10.3695,70.8965
"60","Zotu10052",1,4.90883,71.079640973511
"61","Zotu10053",2,2.48511,40.9697
"62","Zotu10054",1,1.11842,27.4
"63","Zotu10056",3,4.5339,63.1457030741746
"64","Zotu10057",1,3.3558,65.2
"65","Zotu10058",2,4.57840666666667,64.5648645598687
"66","Zotu10059",1,6.974645,68.7303742341008
"67","Zotu1006",1,6.79455,60.2
"68","Zotu10060",2,4.8122,59.6
"69","Zotu10061",6,9.12735,45.2
"70","Zotu10062",2,4.71655,64.4
"71","Zotu10063",4.2,3.612392,34.5796538138718
"72","Zotu10064",4,12.1915,66.1
"73","Zotu10065",1,6.44369,55
"74","Zotu10066",2,3.32219,42
"75","Zotu10067",5,2.67817,49.1
"76","Zotu10068",2,9.44631,69.5
"77","Zotu10069",3,5.18333,69.5
"78","Zotu1007",1,3.42496,62.8
"79","Zotu10070",2,2.15816,68.3
"80","Zotu10071",1,5.83903,64.1089
"81","Zotu10072",4,5.35229,66.5
"82","Zotu10073",8,9.75569,62.2672
"83","Zotu10074",1,2.51505,39.1
"84","Zotu10075",5,3.17201,65.5
