"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6","Outlier7","Outlier8","Outlier9","Outlier10","Outlier11","Outlier12","Outlier13","Outlier14"
"normal","Heterogeneous.Selection","0.00733626","0.007382213","0.0008203089","0.005069843","0.006792953","0.007314199","0.007880726","0.01056585","0.005170537","0.006792953","0.007314199","0.007880726","0.009490406","0.009544229","0.01056585","0.009588502","0.01048518","0.009896137","0.01010263","0.005069843","0.009644529","0.00959099","0.01036983",NA,NA,NA,NA
"normal","Homogeneous.Selection","0.42278744","0.422305206","0.0095663675","0.389444972","0.415831266","0.422518825","0.428829941","0.45000114","0.396371791","0.415831266","0.422518825","0.428829941","0.446982394","0.393931939","0.44952248","0.394406170","0.45000114","0.393718532","0.38944497","0.393907151",NA,NA,NA,NA,NA,NA,NA
"normal","Dispersal.Limitation","0.30080490","0.301957744","0.0144887720","0.253755818","0.291364255","0.302339857","0.311626203","0.34574406","0.261783078","0.291364255","0.302339857","0.311626203","0.340798153","0.345583212","0.34211054","0.257951048","0.25375582","0.343552261","0.34574406",NA,NA,NA,NA,NA,NA,NA,NA
"normal","Homogenizing.Dispersal","0.02967105","0.029595014","0.0018824481","0.023290175","0.028394101","0.029643906","0.030884300","0.03497244","0.024765590","0.028394101","0.029643906","0.030884300","0.034545093","0.034639119","0.02359430","0.023912298","0.03497244","0.024124183","0.02378563","0.034732498","0.024231874","0.02392204","0.02329017",NA,NA,NA,NA
"normal","Drift.and.Others","0.23940035","0.238759822","0.0106455607","0.206253119","0.231908023","0.238667190","0.245538618","0.27423978","0.212522170","0.231908023","0.238667190","0.245538618","0.265323454","0.266259236","0.20935585","0.206253119","0.21105945","0.274239775","0.21017603","0.266296164","0.271572012","0.26808752","0.21137161","0.273638",NA,NA,NA
"normal","Stochasticity","0.56987630","0.570312580","0.0092832550","0.543344087","0.563993160","0.570035555","0.576460715","0.60096404","0.546394429","0.563993160","0.570035555","0.576460715","0.591610817","0.596620213","0.54334409","0.596504703","0.54394636","0.595766609","0.59869774","0.595684383","0.600964037","0.59918084",NA,NA,NA,NA,NA
"half","Heterogeneous.Selection","0.006854133","0.006818387","0.0009751204","0.004448954","0.006137834","0.006738813","0.007461235","0.01070388","0.004448954","0.006137834","0.006738813","0.007461235","0.009353227","0.009567833","0.009531047","0.009622959","0.01005457","0.01070388","0.009817286","0.00947374","0.009749593",NA,NA,NA,NA,NA,NA
"half","Homogeneous.Selection","0.426307038","0.426587657","0.0151858020","0.376276195","0.416377789","0.426433615","0.437155344","0.48537755","0.385459140","0.416377789","0.426433615","0.437155344","0.466781051","0.383713018","0.376276195","0.384816998","0.48537755","0.38362483","0.473893370",NA,NA,NA,NA,NA,NA,NA,NA
"half","Dispersal.Limitation","0.303221660","0.302090459","0.0177936354","0.237623325","0.290348775","0.301638393","0.314250236","0.36296928","0.254605543","0.290348775","0.301638393","0.314250236","0.349418829","0.351678331","0.252424053","0.357492475","0.35169738","0.36296928","0.360521320","0.25361894","0.237623325","0.3516797",NA,NA,NA,NA,NA
"half","Homogenizing.Dispersal","0.027762717","0.027815671","0.0020253082","0.020911599","0.026434523","0.027720389","0.029232703","0.03545084","0.022722783","0.026434523","0.027720389","0.029232703","0.033353339","0.034527469","0.022097064","0.034323094","0.03348756","0.03545084","0.033615690","0.02091160",NA,NA,NA,NA,NA,NA,NA
"half","Drift.and.Others","0.235854452","0.236687826","0.0115111448","0.197534355","0.228768369","0.236648094","0.244386079","0.27138333","0.206454788","0.228768369","0.236648094","0.244386079","0.267231100","0.205301717","0.204727847","0.202861986","0.27138333","0.19753436",NA,NA,NA,NA,NA,NA,NA,NA,NA
"half","Stochasticity","0.566838829","0.566593956","0.0147410198","0.508763145","0.556195703","0.566470048","0.576335399","0.61390652","0.527774542","0.556195703","0.566470048","0.576335399","0.606529445","0.607970270","0.613906519","0.508763145","0.60865294","0.52071085",NA,NA,NA,NA,NA,NA,NA,NA,NA
"double","Heterogeneous.Selection","0.00823743","0.008199849","0.001567835","0.004400059","0.007054858","0.008055915","0.009150369","0.01420950","0.004400059","0.007054858","0.008055915","0.009150369","0.01226132","0.01238861","0.01251311","0.01232660","0.01245441","0.01327932","0.01299945","0.01242085","0.01260125","0.01316972","0.01312121","0.01420950","0.01241670",NA,NA
