"Group1","Group2","Heterogeneous.Selection_Relative.Diff","Heterogeneous.Selection_Cohen.d","Heterogeneous.Selection_Effect.Size","Heterogeneous.Selection_P.value","Homogeneous.Selection_Relative.Diff","Homogeneous.Selection_Cohen.d","Homogeneous.Selection_Effect.Size","Homogeneous.Selection_P.value","Dispersal.Limitation_Relative.Diff","Dispersal.Limitation_Cohen.d","Dispersal.Limitation_Effect.Size","Dispersal.Limitation_P.value","Homogenizing.Dispersal_Relative.Diff","Homogenizing.Dispersal_Cohen.d","Homogenizing.Dispersal_Effect.Size","Homogenizing.Dispersal_P.value","Drift.and.Others_Relative.Diff","Drift.and.Others_Cohen.d","Drift.and.Others_Effect.Size","Drift.and.Others_P.value","Stochasticity_Relative.Diff","Stochasticity_Cohen.d","Stochasticity_Effect.Size","Stochasticity_P.value"
"normal","half","0.0657182709062715","0.625746128381216","medium","0.324928675071325","-0.00825600691732878","-0.337439429446962","small","0.405454594545405","-0.00797027309038204","-0.00817936762038","negligible","0.498818501181499","0.0643163265205289","0.910064781867431","large","0.256630743369257","0.0148115660943647","0.1868884954507","negligible","0.446057553942446","0.00533004718305856","0.301880332102693","small","0.415027584972415"
"normal","double","-0.109399442956424","-0.65348027647188","medium","0.338130661869338","0.0405392589771345","1.20281869229346","large","0.198548801451199","-0.0456527087925352","-0.779065906112682","medium","0.29020670979329","-0.108042728967036","-1.88943895620906","large","0.0875199124800875","0.00728992320672598","0.129013607350645","negligible","0.456917543082457","-0.0277050238800145","-1.18819277955329","large","0.201160798839201"
"normal","normal_vs_half","0.234656719435252","2.56345365677854","large","0.0288479711520288","-0.256201391775983","-15.010217230987","large","0","0.213149481645029","5.20456281057551","large","7.7999922000078e-05","0.279402720971468","5.66262661059935","large","6.999993000007e-06","0.298667194149413","8.62346495725236","large","0","0.252524295591303","15.2392861499902","large","0"
"normal","normal_vs_double","0.140920291259678","1.23051589902331","large","0.19038280961719","-0.24167406279114","-13.1476037790589","large","0","0.196244795704918","4.79640362668962","large","0.000352999647000353","0.177530266138454","3.64410022189134","large","0.00776599223400777","0.289920902057243","8.28841279007114","large","0","0.234622971249778","13.4947814796958","large","0"
"normal","half_vs_double","0.121518889481719","0.988938326372981","large","0.238788761211239","-0.251417921726147","-13.0715443924449","large","0","0.193451455037111","4.54697544032974","large","0.000507999492000508","0.269291673007453","5.50899550573181","large","5.1999948000052e-05","0.312965719153216","8.99561775997614","large","0","0.247607094221208","13.4492691439988","large","0"
"half","double","-0.16792817163349","-1.05813839530496","large","0.232075767924232","0.0484605734919247","1.29262634961074","large","0.180722819277181","-0.0379851880240947","-0.707260086179759","medium","0.306830693169307","-0.165410144053152","-2.71481906620396","large","0.0277569722430278","-0.00757687774454323","-0.0588208845559954","negligible","0.487874512125488","-0.0328874019785848","-1.25045521929991","large","0.188722811277189"
"half","normal_vs_half","0.18082174066794","1.53678843333292","large","0.136260863739136","-0.250009464728853","-11.0584899823954","large","0","0.219420895157627","4.50434797991261","large","0.000698999301000699","0.229870842622603","4.16264898054633","large","0.00108199891800108","0.288123183632743","7.83296847385605","large","0","0.248518865688243","11.2787062606911","large","0"
"half","normal_vs_double","0.0804918024313227","0.527632957917621","medium","0.353646646353354","-0.235361199565495","-9.90090007767211","large","0","0.202650944180965","4.15967002877905","large","0.00160899839100161","0.120995954965126","2.26019877514911","large","0.0481919518080482","0.279245397626368","7.53201098272448","large","0","0.230521615152196","10.18601433811","large","0"
"half","half_vs_double","0.0597256874856962","0.319946533380017","small","0.409336590663409","-0.245186173553711","-10.052391013863","large","0","0.199879867201116","3.97243922366002","large","0.00213299786700213","0.219064788984395","4.00701323693697","large","0.00151299848700151","0.30263667619083","8.1835928632705","large","0","0.243575314959512","10.3637781795557","large","0"
"double","normal_vs_half","0.318384847999478","2.21103972564368","large","0.0406949593050407","-0.286354436181608","-11.982269551184","large","0","0.249071339222744","5.16818681061585","large","3.1999968000032e-05","0.357258017483931","7.89963716837933","large","0","0.293516987239533","8.13354568092588","large","0","0.273233127831676","12.2499864927494","large","0"
