"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6","Outlier7","Outlier8","Outlier9","Outlier10","Outlier11","Outlier12","Outlier13","Outlier14","Outlier15","Outlier16"
"normal","Heterogeneous.Selection","0.03288627","0.03317232","0.012604208","0.009904339","0.02346001","0.03174844","0.04085122","0.08299983","0.009904339","0.02346001","0.03174844","0.04085122","0.06680469","0.06752133","0.07548451","0.06824662","0.08299983","0.06903156","0.06969872","0.06968566","0.07821468","0.07048229","0.07010055",NA,NA,NA,NA,NA,NA
"normal","Homogeneous.Selection","0.31328329","0.31334720","0.023203296","0.220702487","0.29646452","0.31254012","0.32844095","0.41882713","0.251976217","0.29646452","0.31254012","0.32844095","0.37639059","0.37880194","0.41882713","0.38707325","0.38369243","0.37709799","0.22070249","0.38365333","0.38931201","0.37665444","0.38241103",NA,NA,NA,NA,NA,NA
"normal","Dispersal.Limitation","0.43879587","0.43861412","0.027906372","0.330063352","0.42128643","0.44026569","0.45690133","0.52373080","0.369946605","0.42128643","0.44026569","0.45690133","0.50691206","0.51364663","0.33006335","0.51143865","0.51051469","0.52373080","0.35639668","0.36665321","0.33468467","0.34348581","0.35488455","0.36084203","0.36657972","0.36224552",NA,NA,NA
"normal","Homogenizing.Dispersal","0.01681262","0.01679780","0.001958672","0.010523346","0.01550484","0.01667460","0.01798429","0.02450153","0.011913018","0.01550484","0.01667460","0.01798429","0.02167922","0.02348356","0.02193371","0.01157151","0.02203999","0.02181047","0.02251021","0.02286823","0.02172390","0.02245620","0.02202858","0.02312785","0.02356328","0.02254987","0.02450153","0.01052335","0.021778"
"normal","Drift.and.Others","0.19822195","0.19806856","0.015795247","0.152140978","0.18809923","0.19692299","0.20785841","0.25615009","0.158520813","0.18809923","0.19692299","0.20785841","0.23690491","0.15214098","0.25036731","0.15715284","0.24272567","0.23891362","0.15574686","0.24351152","0.23865857","0.25533027","0.23753897","0.23775022","0.25615009","0.24197375",NA,NA,NA
"normal","Stochasticity","0.65383044","0.65348048","0.024114287","0.549069015","0.63831472","0.65510112","0.66877827","0.72005061","0.593465934","0.63831472","0.65510112","0.66877827","0.71247521","0.58184196","0.54906901","0.58463020","0.59145725","0.72005061","0.58844196","0.58784272","0.57879776","0.58790865","0.71821647","0.71479977","0.56042083",NA,NA,NA,NA
"half","Heterogeneous.Selection","0.03736240","0.03726139","0.009137423","0.014651731","0.03066122","0.03622830","0.04320881","0.07182442","0.014651731","0.03066122","0.03622830","0.04320881","0.06142696","0.06820624","0.06682818","0.06264284","0.07083762","0.06362294","0.07182442","0.06390804","0.06385930","0.06213885","0.065477730",NA,NA,NA,NA,NA,NA
"half","Homogeneous.Selection","0.34748531","0.34641721","0.028168846","0.255499691","0.32739423","0.34626301","0.36491016","0.44692891","0.273064059","0.32739423","0.34626301","0.36491016","0.42079658","0.26526240","0.43594234","0.42319426","0.27106593","0.43323854","0.42391130","0.44692891","0.25549969","0.43534522","0.433157234","0.439581530","0.26896476",NA,NA,NA,NA
"half","Dispersal.Limitation","0.40258828","0.40331782","0.023532606","0.319352863","0.38651942","0.40331586","0.41940507","0.46821072","0.338598371","0.38651942","0.40331586","0.41940507","0.46821072","0.31935286","0.33379459","0.33012807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"half","Homogenizing.Dispersal","0.01516567","0.01517841","0.002242944","0.008437546","0.01359239","0.01510423","0.01655510","0.02501387","0.009349018","0.01359239","0.01510423","0.01655510","0.02083298","0.02205590","0.02310398","0.02158977","0.02155843","0.02123003","0.02148032","0.02101192","0.02501387","0.02184413","0.008605116","0.008437546","0.02136438","0.02264337","0.02177363",NA,NA
"half","Drift.and.Others","0.19739835","0.19782516","0.014114898","0.156706271","0.18814647","0.19807737","0.20763365","0.24639267","0.160405084","0.18814647","0.19807737","0.20763365","0.23547888","0.24639267","0.15670627",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"half","Stochasticity","0.61515229","0.61632139","0.027197046","0.525806038","0.59849662","0.61621809","0.63565397","0.69937157","0.544744884","0.59849662","0.61621809","0.63565397","0.68971725","0.53717974","0.69937157","0.53661068","0.54205707","0.53064622","0.53422729","0.52942883","0.52757111","0.52580604",NA,NA,NA,NA,NA,NA,NA
"double","Heterogeneous.Selection","0.02942314","0.02925772","0.007384229","0.01185040","0.02383966","0.02918016","0.03386261","0.05594195","0.01185040","0.02383966","0.02918016","0.03386261","0.04808048","0.05382588","0.05248699","0.04951827","0.04997117","0.05030091","0.04986401","0.05594195","0.05014421","0.04987097","0.05117305","0.05205862",NA,NA,NA,NA,NA
"double","Homogeneous.Selection","0.30002769","0.29923748","0.024882364","0.21954661","0.28339100","0.29813487","0.31580088","0.39586683","0.23525556","0.28339100","0.29813487","0.31580088","0.36159483","0.39586683","0.23220221","0.36580781","0.36875520","0.37044773","0.36516887","0.21954661","0.37049390","0.37450149",NA,NA,NA,NA,NA,NA,NA
"double","Dispersal.Limitation","0.48330512","0.48429892","0.026013072","0.39735213","0.46680695","0.48447408","0.50193118","0.56410582","0.41822856","0.46680695","0.48447408","0.50193118","0.55082051","0.56114677","0.40574180","0.39735213","0.40195771","0.56410582","0.55757857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"double","Homogenizing.Dispersal","0.01628498","0.01637453","0.001772372","0.01121496","0.01514527","0.01636642","0.01747937","0.02305738","0.01172161","0.01514527","0.01636642","0.01747937","0.02097402","0.02144678","0.02167643","0.02159894","0.02147755","0.02305738","0.01121496","0.02098479","0.02101938","0.02149322",NA,NA,NA,NA,NA,NA,NA
"double","Drift.and.Others","0.17095907","0.17083136","0.012165184","0.13328277","0.16297484","0.17046249","0.17884244","0.21735444","0.14226849","0.16297484","0.17046249","0.17884244","0.20255216","0.13328277","0.13771699","0.13823307","0.21735444","0.21328924","0.20823788","0.20957296",NA,NA,NA,NA,NA,NA,NA,NA,NA
"double","Stochasticity","0.67054917","0.67150480","0.025279249","0.58532719","0.65413498","0.67259868","0.68827858","0.75596343","0.60403047","0.65413498","0.67259868","0.68827858","0.73815686","0.74264757","0.58532719","0.59647733","0.75596343","0.60178584","0.60146783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Heterogeneous.Selection","0.03333514","0.03312797","0.006435379","0.01520616","0.02849795","0.03247280","0.03747509","0.05507919","0.01520616","0.02849795","0.03247280","0.03747509","0.05070038","0.05158183","0.05131661","0.05507919","0.05340923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Homogeneous.Selection","0.33377089","0.33387055","0.017459771","0.28950185","0.32123007","0.33299024","0.34550612","0.39164929","0.28950185","0.32123007","0.33299024","0.34550612","0.38174178","0.38597368","0.39164929","0.38926323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Dispersal.Limitation","0.41964872","0.41975338","0.018224274","0.36272872","0.40758387","0.42004334","0.43188928","0.46735713","0.37139048","0.40758387","0.42004334","0.43188928","0.46735713","0.36272872","0.36622479","0.36983910","0.37104283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Homogenizing.Dispersal","0.01623035","0.01626592","0.001403497","0.01246996","0.01526962","0.01621784","0.01721559","0.02127300","0.01246996","0.01526962","0.01621784","0.01721559","0.02003656","0.02127300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_half","Drift.and.Others","0.19701490","0.19698219","0.010496551","0.16542763","0.18992466","0.19657346","0.20317999","0.23008186","0.17121466","0.18992466","0.19657346","0.20317999","0.22305279","0.22556247","0.16847834","0.22357441","0.22522136","0.1654276","0.2245517","0.2269793","0.2264818","0.2294772","0.2258381","0.2243074","0.2255236","0.1663724","0.2283851","0.2300819",NA
"normal_vs_half","Stochasticity","0.63289397","0.63300149","0.017433148","0.56915174","0.62083403","0.63414948","0.64501125","0.68361816","0.58779113","0.62083403","0.63414948","0.64501125","0.68029585","0.56915174","0.58304922","0.57713709","0.68361816","0.5798387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"normal_vs_double","Heterogeneous.Selection","0.03001542","0.03022289","0.006846383","0.01472524","0.02526041","0.02986874","0.03428813","0.05592267","0.01472524","0.02526041","0.02986874","0.03428813","0.04780078","0.05246939","0.05250184","0.04943243","0.05502679","0.05050659","0.04804883","0.05046033","0.04811560","0.04889592","0.04942478","0.04973037","0.0480845","0.0551681","0.05592267","0.04856214","0.04918741"
"normal_vs_double","Homogeneous.Selection","0.31131556","0.31180664","0.017241268","0.25331820","0.30065991","0.31165640","0.32313598","0.38487945","0.26721458","0.30065991","0.31165640","0.32313598","0.35584735","0.26148695","0.35876205","0.35869923","0.36549928","0.26314802","0.26634467","0.36303274","0.38487945","0.25331820","0.25879584","0.37784904",NA,NA,NA,NA,NA
