sample;loss
N01;1N2016;90.846
S01;1S2016;88.433
N02;2N2016;70.893
S02;2S2016;71.855
N03;3N2016;85.932
S03;3S2016;77.436
N04;4N2016;83.664
S04;4S2016;97.053
N05;5N2016;93.407
S05;5S2016;94.39
N06;6N2016;83.364
S06;6S2016;70.636
N07;7N2016;96.269
S07;7S2016;94.857
N08;8N2016;93.034
S08;8S2016;95.105
N09;9N2016;83.373
S09;9S2016;93.996
N10;10N2016;96.017
S10;10S2016;98.263
N11;11N2016;82.646
S11;11S2016;97.403
N12;12N2016;93.636
S12;12S2016;90.055
N13;13N2016;78.548
S13;13S2016;88.685
N14;14N2016;96.097
S14;14S2016;86.82
N15;15N2016;88.22
S15;15S2016;87.557
N16;16N2016;88.359
S16;16S2016;85.044
N17;17N2016;92.751
S17;17S2016;60.052
N18;18N2016;95.127
S18;18S2016;56.889
N19;19N2016;78.185
S19;19S2016;93.594
N20;20N2016;95.778
S20;20S2016;94.995
N21;21N2016;95.929
S21;21S2016;94.809
N22;22N2016;97.76
S22;22S2016;69.217
N23;23N2016;80.154
S23;23S2016;87.58
N24;24N2016;82.597
S24;24S2016;95.756
1;1N2017;89.543
2;10N2017;91.718
3;20N2017;97.523
4;16N2017;96.022
5;3N2017;48.814
6;6N2017;61.676
7;19N2017;94.059
8;23N2017;77.483
110;1N2018;62.32
210;1S2018;90.9
310;2N2018;72.26
49;2S2018;73.24
51;3N2018;34
61;3S2018;76
71;4N2018;69.92
81;4S2018;72.08
9;5N2018;10.78
10;5S2018;47.16
11;6N2018;60.82
12;6S2018;52.18
13;7N2018;52.22
14;7S2018;80.48
15;8N2018;33.54
16;8S2018;69.44
17;9N2018;96.62
18;9S2018;39.22
19;10N2018;8.4
20;10S2018;74.64
21;11N2018;66.42
22;11S2018;98.12
23;12N2018;54.3
24;12S2018;80.44
25;13N2018;75.02
26;13S2018;65.52
27;14N2018;32.52
28;14S2018;73.28
29;15N2018;58.74
30;15S2018;63.28
31;16N2018;66.22
32;16S2018;58.22
33;17N2018;45.12
34;17S2018;82.88
35;18N2018;80.86
36;18S2018;80.88
37;19N2018;99.9
38;19S2018;64.58
39;20N2018;52.48
40;20S2018;66.22
41;21N2018;100
42;21S2018;85.28
43;22N2018;37.92
44;22S2018;66.36
45;23N2018;41.92
46;23S2018;57.12
47;24N2018;53.68
48;24S2018;100
