"Feature.ID" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "Confidence"
"1" "Zotu1" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Talaromyces" "Unassigned" 0.999997659339197
"2" "Zotu2" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Cladophialophora" "Unassigned" 0.997742760315741
"3" "Zotu3" "Fungi" "Ascomycota" "Leotiomycetes" "Helotiales" "Hyaloscyphaceae" "Cistella" "Unassigned" 0.99556223878146
"4" "Zotu4" "Fungi" "Basidiomycota" "Agaricomycetes" "Geastrales" "Geastraceae" "Geastrum" "Geastrum_saccatum" 0.988218874941159
"5" "Zotu5" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Exophiala" "Unassigned" 0.995241933278843
"6" "Zotu6" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Exophiala" "Exophiala_equina" 0.958634506623358
"7" "Zotu7" "Fungi" "Ascomycota" "Sordariomycetes" "Chaetosphaeriales" "Chaetosphaeriaceae" "Unassigned" "Unassigned" 0.999185407826743
"8" "Zotu8" "Fungi" "Mortierellomycota" "Mortierellomycetes" "Mortierellales" "Mortierellaceae" "Mortierella" "Unassigned" 0.999999999994761
"9" "Zotu9" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Pleosporaceae" "Alternaria" "Alternaria_alternata" 0.805083178424733
"10" "Zotu10" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Arthrobotrys" "Arthrobotrys_entomopaga" 0.987958780482974
"11" "Zotu11" "Fungi" "Ascomycota" "Leotiomycetes" "Thelebolales" "Pseudeurotiaceae" "Pseudogymnoascus" "Unassigned" 0.961534475260965
"12" "Zotu12" "Fungi" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.782722051435496
"13" "Zotu13" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Exophiala" "Exophiala_moniliae" 0.999995105847372
"14" "Zotu14" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Phaeosphaeria" "Unassigned" 0.943329835756684
"15" "Zotu15" "Fungi" "Basidiomycota" "Agaricomycetes" "Phallales" "Phallaceae" "Phallus" "Phallus_hadriani" 0.999999999978087
"16" "Zotu16" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Exophiala" "Exophiala_cancerae" 0.939112876072248
"17" "Zotu17" "Fungi" "Ascomycota" "Dothideomycetes" "Capnodiales" "Cladosporiaceae" "Cladosporium" "Cladosporium_cladosporioides" 0.97918020437582
"18" "Zotu18" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Talaromyces" "Talaromyces_trachyspermus" 0.950116470603735
"19" "Zotu19" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Pleosporaceae" "Bipolaris" "Bipolaris_sorokiniana" 0.992261185205378
"20" "Zotu20" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Nectriaceae" "Fusarium" "Fusarium_lacertarum" 0.968803988978457
"21" "Zotu21" "Fungi" "Basidiomycota" "Agaricomycetes" "Polyporales" "Hyphodermataceae" "Hyphoderma" "Hyphoderma_setigerum" 0.999999862876204
"22" "Zotu22" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Orbilia" "Orbilia_stipitata" 0.999999974281295
"23" "Zotu23" "Fungi" "Ascomycota" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.845703392602793
"24" "Zotu24" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymosphaeriaceae" "Pseudopithomyces" "Unassigned" 0.954906761781018
"25" "Zotu25" "Fungi" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" "Unassigned" 0.813299064583712
"26" "Zotu26" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Dactylella" "Dactylella_clavata" 0.999999948212421
"27" "Zotu27" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Hypocreaceae" "Trichoderma" "Trichoderma_spirale" 0.873015587079665
"28" "Zotu28" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Cladophialophora" "Unassigned" 0.975576993206432
"29" "Zotu29" "Fungi" "Basidiomycota" "Agaricomycetes" "Polyporales" "Meruliaceae" "Unassigned" "Unassigned" 0.999994916527644
