"ID","sample","year","block","Precipitation","Warm","Clip","type"
"1","10N2016",2016,"B2","normal","warming","uncliping","litter"
"2","10N2017",2017,"B2","normal","warming","uncliping","litter"
"3","10N2018",2018,"B2","normal","warming","uncliping","litter"
"4","10S2016",2016,"B2","normal","warming","Cliping","litter"
"5","10S2017",2017,"B2","normal","warming","Cliping","litter"
"6","10S2018",2018,"B2","normal","warming","Cliping","litter"
"7","11N2016",2016,"B2","half","unwarming","uncliping","litter"
"8","11N2017",2017,"B2","half","unwarming","uncliping","litter"
"9","11N2018",2018,"B2","half","unwarming","uncliping","litter"
"10","11S2016",2016,"B2","half","unwarming","Cliping","litter"
"11","11S2017",2017,"B2","half","unwarming","Cliping","litter"
"12","11S2018",2018,"B2","half","unwarming","Cliping","litter"
"13","12N2016",2016,"B2","double","unwarming","uncliping","litter"
"14","12N2017",2017,"B2","double","unwarming","uncliping","litter"
"15","12N2018",2018,"B2","double","unwarming","uncliping","litter"
"16","12S2016",2016,"B2","double","unwarming","Cliping","litter"
"17","12S2017",2017,"B2","double","unwarming","Cliping","litter"
"18","12S2018",2018,"B2","double","unwarming","Cliping","litter"
"19","13N2016",2016,"B3","half","unwarming","uncliping","litter"
"20","13N2017",2017,"B3","half","unwarming","uncliping","litter"
"21","13N2018",2018,"B3","half","unwarming","uncliping","litter"
"22","13S2016",2016,"B3","half","unwarming","Cliping","litter"
"23","13S2017",2017,"B3","half","unwarming","Cliping","litter"
"24","13S2018",2018,"B3","half","unwarming","Cliping","litter"
"25","14N2016",2016,"B3","double","unwarming","uncliping","litter"
"26","14N2017",2017,"B3","double","unwarming","uncliping","litter"
"27","14N2018",2018,"B3","double","unwarming","uncliping","litter"
"28","14S2016",2016,"B3","double","unwarming","Cliping","litter"
"29","14S2017",2017,"B3","double","unwarming","Cliping","litter"
"30","14S2018",2018,"B3","double","unwarming","Cliping","litter"
"31","15N2016",2016,"B3","half","warming","uncliping","litter"
"32","15N2017",2017,"B3","half","warming","uncliping","litter"
"33","15N2018",2018,"B3","half","warming","uncliping","litter"
"34","15S2016",2016,"B3","half","warming","Cliping","litter"
"35","15S2017",2017,"B3","half","warming","Cliping","litter"
"36","15S2018",2018,"B3","half","warming","Cliping","litter"
"37","16N2016",2016,"B4","normal","warming","uncliping","litter"
"38","16N2017",2017,"B4","normal","warming","uncliping","litter"
"39","16N2018",2018,"B4","normal","warming","uncliping","litter"
"40","16S2016",2016,"B4","normal","warming","Cliping","litter"
"41","16S2017",2017,"B4","normal","warming","Cliping","litter"
"42","16S2018",2018,"B4","normal","warming","Cliping","litter"
"43","16soil10N",2016,"B2","normal","warming","uncliping","soil"
"44","16soil10S",2016,"B2","normal","warming","Cliping","soil"
"45","16soil11N",2016,"B2","half","unwarming","uncliping","soil"
"46","16soil11S",2016,"B2","half","unwarming","Cliping","soil"
"47","16soil12N",2016,"B2","double","unwarming","uncliping","soil"
"48","16soil12S",2016,"B2","double","unwarming","Cliping","soil"
"49","16soil13N",2016,"B3","half","unwarming","uncliping","soil"
"50","16soil13S",2016,"B3","half","unwarming","Cliping","soil"
"51","16soil14N",2016,"B3","double","unwarming","uncliping","soil"
"52","16soil14S",2016,"B3","double","unwarming","Cliping","soil"
"53","16soil15N",2016,"B3","half","warming","uncliping","soil"
"54","16soil15S",2016,"B3","half","warming","Cliping","soil"
"55","16soil16N",2016,"B4","normal","warming","uncliping","soil"
"56","16soil16S",2016,"B4","normal","warming","Cliping","soil"
"57","16soil17N",2016,"B4","double","unwarming","uncliping","soil"
"58","16soil17S",2016,"B4","double","unwarming","Cliping","soil"
"59","16soil18N",2016,"B4","half","warming","uncliping","soil"
"60","16soil18S",2016,"B4","half","warming","Cliping","soil"
"61","16soil19N",2016,"B3","normal","unwarming","uncliping","soil"
"62","16soil19S",2016,"B3","normal","unwarming","Cliping","soil"
"63","16soil1N",2016,"B1","normal","warming","uncliping","soil"
"64","16soil1S",2016,"B1","normal","warming","Cliping","soil"
"65","16soil20N",2016,"B3","normal","warming","uncliping","soil"
"66","16soil20S",2016,"B3","normal","warming","Cliping","soil"
"67","16soil21N",2016,"B3","double","warming","uncliping","soil"
"68","16soil21S",2016,"B3","double","warming","Cliping","soil"
"69","16soil22N",2016,"B4","double","warming","uncliping","soil"
"70","16soil22S",2016,"B4","double","warming","Cliping","soil"
