 Simulation_Period = 20160101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOM1               kPOM2                kMOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20160101        0.146333E-05        0.524750E-04        0.120042E-05        0.134150E-04        0.146083E-02        0.179583E-01        0.203083E-03        0.000000E+00        0.196958E-04        0.191875E-04        0.187333E+00        0.125583E-01        0.117292E+00        0.100000E+01        0.195471E-16        0.124000E+01        0.124000E+01        0.272000E-05        0.423208E-06        0.477000E+01        0.362000E+00        0.000000E+00        0.640000E+01
  20160102        0.146333E-05        0.515042E-04        0.120000E-05        0.194375E-04        0.910625E-03        0.751208E-02        0.109763E-03        0.000000E+00        0.162833E-04        0.137667E-04        0.987875E-01        0.161542E-01        0.781125E-01        0.100000E+01        0.242404E-16        0.124000E+01        0.124000E+01        0.272000E-05        0.316542E-06        0.532000E+01        0.359000E+00        0.000000E+00        0.640000E+01
  20160103        0.146542E-05        0.507500E-04        0.120000E-05        0.230125E-04        0.615750E-03        0.377083E-02        0.618417E-04        0.000000E+00        0.127625E-04        0.874292E-05        0.544500E-01        0.180583E-01        0.597875E-02        0.100000E+01        0.852667E-17        0.124000E+01        0.124000E+01        0.272000E-05        0.216708E-06        0.564000E+01        0.361000E+00        0.000000E+00        0.640000E+01
  20160104        0.147000E-05        0.500417E-04        0.121000E-05        0.252458E-04        0.476542E-03        0.223292E-02        0.391167E-04        0.000000E+00        0.107583E-04        0.588417E-05        0.335083E-01        0.191125E-01       -0.876917E-01        0.100000E+01        0.160938E-16        0.124000E+01        0.124000E+01        0.272000E-05        0.159667E-06        0.601000E+01        0.360000E+00        0.000000E+00        0.640000E+01
  20160105        0.149000E-05        0.492500E-04        0.122000E-05        0.271625E-04        0.422375E-03        0.157042E-02        0.286708E-04        0.000000E+00        0.100008E-04        0.458292E-05        0.235500E-01        0.197833E-01       -0.171375E+00        0.100000E+01        0.241646E-16        0.124000E+01        0.124000E+01        0.272000E-05        0.133958E-06        0.683000E+01        0.358000E+00        0.000000E+00        0.640000E+01
  20160106        0.150000E-05        0.486292E-04        0.122958E-05        0.284542E-04        0.399042E-03        0.128542E-02        0.241667E-04        0.000000E+00        0.973875E-05        0.401375E-05        0.193375E-01        0.202667E-01       -0.224750E+00        0.100000E+01        0.177208E-16        0.124000E+01        0.124000E+01        0.272000E-05        0.122792E-06        0.731000E+01        0.352000E+00        0.000000E+00        0.640000E+01
  20160107        0.148000E-05        0.485125E-04        0.122458E-05        0.279583E-04        0.370583E-03        0.116042E-02        0.225125E-04        0.000000E+00        0.931250E-05        0.359167E-05        0.184958E-01        0.206792E-01       -0.265500E+00        0.100000E+01        0.342413E-16        0.124000E+01        0.124000E+01        0.272000E-05        0.113500E-06        0.626000E+01        0.353000E+00        0.000000E+00        0.640000E+01
  20160108        0.147000E-05        0.482833E-04        0.122500E-05        0.278208E-04        0.354833E-03        0.108917E-02        0.216542E-04        0.000000E+00        0.912250E-05        0.339125E-05        0.181083E-01        0.210583E-01       -0.287833E+00        0.100000E+01       -0.445625E-17        0.124000E+01        0.124000E+01        0.272000E-05        0.109208E-06        0.559000E+01        0.352000E+00        0.000000E+00        0.640000E+01
  20160109        0.145000E-05        0.481625E-04        0.122042E-05        0.273917E-04        0.339500E-03        0.104958E-02        0.213583E-04        0.000000E+00        0.892542E-05        0.324250E-05        0.183708E-01        0.214333E-01       -0.303417E+00        0.100000E+01        0.369958E-16        0.124000E+01        0.124000E+01        0.470000E-05        0.105583E-06        0.464000E+01        0.352000E+00        0.000000E+00        0.640000E+01
  20160110        0.147000E-05        0.474500E-04        0.123542E-05        0.287042E-04        0.349000E-03        0.101750E-02        0.209000E-04        0.000000E+00        0.925125E-05        0.336625E-05        0.175000E-01        0.217917E-01       -0.290333E+00        0.100000E+01        0.258642E-16        0.124000E+01        0.124000E+01        0.470000E-05        0.108500E-06        0.550000E+01        0.350000E+00        0.000000E+00        0.640000E+01
  20160111        0.147000E-05        0.470542E-04        0.124000E-05        0.291542E-04        0.349000E-03        0.100542E-02        0.209833E-04        0.000000E+00        0.937375E-05        0.342333E-05        0.175000E-01        0.221500E-01       -0.281958E+00        0.100000E+01        0.296612E-16        0.124000E+01        0.124000E+01        0.470000E-05        0.109583E-06        0.549000E+01        0.352000E+00        0.000000E+00        0.640000E+01
  20160112        0.147000E-05        0.467292E-04        0.124875E-05        0.294875E-04        0.347000E-03        0.993333E-03        0.210000E-04        0.000000E+00        0.946500E-05        0.346500E-05        0.176000E-01        0.224958E-01       -0.275167E+00        0.100000E+01        0.114671E-16        0.124000E+01        0.124000E+01        0.470000E-05        0.110333E-06        0.537000E+01        0.357000E+00        0.000000E+00        0.640000E+01
  20160113        0.146750E-05        0.465167E-04        0.125000E-05        0.294833E-04        0.341833E-03        0.980792E-03        0.210958E-04        0.000000E+00        0.945417E-05        0.345667E-05        0.179542E-01        0.228500E-01       -0.273125E+00        0.100000E+01        0.178000E-16        0.124000E+01        0.124000E+01        0.470000E-05        0.110000E-06        0.492000E+01        0.351000E+00        0.000000E+00        0.640000E+01
  20160114        0.149000E-05        0.459042E-04        0.126583E-05        0.308417E-04        0.352625E-03        0.965083E-03        0.208958E-04        0.000000E+00        0.982667E-05        0.362708E-05        0.173208E-01        0.231958E-01       -0.256375E+00        0.100000E+01        0.166142E-16        0.124000E+01        0.124000E+01        0.470000E-05        0.113708E-06        0.578000E+01        0.351000E+00        0.000000E+00        0.640000E+01
  20160115        0.152375E-05        0.452250E-04        0.128667E-05        0.328042E-04        0.371250E-03        0.960000E-03        0.208208E-04        0.000000E+00        0.103875E-04        0.391750E-05        0.165750E-01        0.235375E-01       -0.231583E+00        0.100000E+01        0.367000E-16        0.124000E+01        0.124000E+01        0.470000E-05        0.120333E-06        0.707000E+01        0.353000E+00        0.000000E+00        0.640000E+01
