 Simulation_Period = 20160101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
         0           0.124E+01           0.124E+01           0.116E+01           0.405E+00           0.450E-01           0.702E+00           0.709E-02           0.520E-01           0.250E-01           0.250E-03           0.248E-01           0.110E-03           0.500E-04           0.100E-04           0.500E-04           0.170-312           0.000E+00           0.170-312           0.296-322           0.848-313           0.695-309           0.695-309           0.000E+00           0.000E+00           0.356-321           0.637-313           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.695-309           0.212-312           0.212-312           0.494-323           0.695-309           0.170-312           0.170-312           0.601-153           0.000E+00           0.000E+00           0.296-322           0.000E+00           0.262-321           0.212-312           0.695-309           0.212-313           0.257-321           0.257-321           0.170-312                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
  20160101        0.123614E+01        0.123614E+01        0.117520E+01        0.404995E+00        0.449830E-01        0.701933E+00        0.232850E-01        0.358336E-01        0.249999E-01        0.318726E-03        0.246812E-01        0.109421E-03        0.497248E-04        0.991354E-05        0.497828E-04        0.194989E-16        0.545600E-05        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160102        0.123620E+01        0.123620E+01        0.119365E+01        0.404985E+00        0.449510E-01        0.701976E+00        0.417368E-01        0.174384E-01        0.249990E-01        0.406398E-03        0.245926E-01        0.108718E-03        0.493765E-04        0.976925E-05        0.495719E-04        0.242463E-16        0.143636E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160103        0.123625E+01        0.123625E+01        0.120182E+01        0.404976E+00        0.449200E-01        0.702018E+00        0.499119E-01        0.932319E-02        0.249970E-01        0.452720E-03        0.245443E-01        0.108406E-03        0.492014E-04        0.964664E-05        0.495577E-04        0.849599E-17        0.206227E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160104        0.123631E+01        0.123631E+01        0.120547E+01        0.404966E+00        0.448899E-01        0.702059E+00        0.535554E-01        0.574182E-02        0.249943E-01        0.478614E-03        0.245157E-01        0.108316E-03        0.491249E-04        0.953739E-05        0.496538E-04        0.161866E-16        0.250317E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160105        0.123638E+01        0.123638E+01        0.120710E+01        0.404956E+00        0.448605E-01        0.702099E+00        0.551841E-01        0.417658E-02        0.249912E-01        0.494911E-03        0.244963E-01        0.108390E-03        0.491213E-04        0.943856E-05        0.498302E-04        0.241161E-16        0.284986E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160106        0.123644E+01        0.123644E+01        0.120783E+01        0.404946E+00        0.448320E-01        0.702139E+00        0.559175E-01        0.350728E-02        0.249878E-01        0.506854E-03        0.244810E-01        0.108593E-03        0.491755E-04        0.934841E-05        0.500692E-04        0.177485E-16        0.315523E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160107        0.123650E+01        0.123650E+01        0.120821E+01        0.404936E+00        0.448039E-01        0.702178E+00        0.562881E-01        0.320108E-02        0.249844E-01        0.517049E-03        0.244673E-01        0.108824E-03        0.492429E-04        0.926196E-05        0.503195E-04        0.342232E-16        0.343748E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160108        0.123656E+01        0.123656E+01        0.120843E+01        0.404926E+00        0.447760E-01        0.702217E+00        0.565134E-01        0.304027E-02        0.249810E-01        0.526537E-03        0.244544E-01        0.109030E-03        0.492999E-04        0.917653E-05        0.505534E-04       -0.448164E-17        0.370400E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160109        0.123665E+01        0.123665E+01        0.120861E+01        0.404919E+00        0.447575E-01        0.702256E+00        0.566782E-01        0.295389E-02        0.249775E-01        0.535715E-03        0.244418E-01        0.109209E-03        0.493462E-04        0.909205E-05        0.507707E-04        0.370124E-16        0.396118E-04        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
