 Simulation_Period = 20160101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day            TOTout_C            TOTinp_C           POMinp1_C           POMinp2_C            DOMinp_C           POMdec1_C           POMdec2_C       POMdec2DOM1_C       POMdec2DOM2_C       POMdec2MOM1_C       POMdec2MOM2_C            MOMdec_C           MOM2DOM_C           QOM2DOM_C           DOM2QOM_C        DOM2QOMnet_C           DOM2MBA_C     MBA_mortality_C           MBA2EP1_C           MBA2EP2_C            MBA2EM_C            MBA_PM_C           EP2DOM1_C           EP2DOM2_C            EM2DOM_C           MBA2DOM_C           MBA2POM_C           MBA2MBD_C           MBD2MBA_C             CO2_gmo              CO2_gm          CO2_growth          CO2_maintn          CO2_ovflow      CO2_maintn_MBA      CO2_maintn_MBD      CO2_ovflow_MBA      CO2_ovflow_MBD           Nmine_dep             NH4_dep             NO3_dep             Nmn_net                 Nmn             Nmn_MBA             Nmn_MBD                 Nim             Nim_NH4             Nim_NO3              Nitrif            DENitrif            TOTout_N            TOTinp_N           POMinp1_N           POMinp2_N            DOMinp_N           POMdec1_N           POMdec2_N       POMdec2DOM1_N       POMdec2DOM2_N       POMdec2MOM1_N       POMdec2MOM2_N            MOMdec_N           MOM2DOM_N           QOM2DOM_N           DOM2QOM_N        DOM2QOMnet_N           DOM2MBA_N     MBA_mortality_N           MBA2EP1_N           MBA2EP2_N            MBA2EM_N            MBA_PM_N           EP2DOM1_N           EP2DOM2_N            EM2DOM_N           MBA2DOM_N           MBA2POM_N           MBA2MBD_N           MBD2MBA_N                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20160101        0.837816E-04        0.271667E-05        0.190167E-06        0.100517E-05        0.152133E-05        0.603885E-06        0.236543E-05        0.608220E-07        0.238241E-06        0.543063E-06        0.212719E-05        0.858252E-06        0.858252E-06        0.346452E-04        0.115551E-02        0.112086E-02        0.126150E-03        0.000000E+00        0.198968E-07        0.220977E-08        0.663066E-07        0.884131E-07        0.720470E-08        0.143897E-08        0.725641E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.742698E-04        0.837816E-04        0.837816E-04        0.748229E-04        0.895885E-05        0.000000E+00        0.882411E-05        0.134725E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00       -0.999000E+03        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160102        0.229902E-03        0.271667E-05        0.190167E-06        0.100517E-05        0.152133E-05        0.618756E-06        0.237270E-05        0.623198E-07        0.238973E-06        0.556437E-06        0.213373E-05        0.915006E-06        0.915006E-06        0.626468E-04        0.415118E-03        0.352471E-03        0.341994E-03        0.000000E+00        0.678933E-07        0.753552E-08        0.226242E-06        0.301671E-06        0.732257E-08        0.144985E-08        0.770695E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.541636E-04        0.229902E-03        0.229902E-03        0.206029E-03        0.238727E-04        0.000000E+00        0.237469E-04        0.125802E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00       -0.999000E+03        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160103        0.143747E-03        0.271667E-05        0.190167E-06        0.100517E-05        0.152133E-05        0.646677E-06        0.241569E-05        0.651318E-07        0.243303E-06        0.581545E-06        0.217239E-05        0.104072E-05        0.104072E-05        0.689877E-04        0.654267E-04       -0.356102E-05        0.212171E-03        0.000000E+00        0.115180E-06        0.127752E-07        0.383790E-06        0.511746E-06        0.761714E-08        0.148034E-08        0.874606E-08        0.000000E+00        0.000000E+00        0.000000E+00        0.187877E-04        0.143747E-03        0.143747E-03        0.128958E-03        0.147899E-04        0.000000E+00        0.146692E-04        0.120701E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00       -0.999000E+03        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160104        0.466853E-04        0.271667E-05        0.190167E-06        0.100517E-05        0.152133E-05        0.684859E-06        0.247752E-05        0.689775E-07        0.249530E-06        0.615882E-06        0.222799E-05        0.121145E-05        0.121145E-05        0.681771E-04        0.120395E-04       -0.561376E-04        0.681927E-04        0.000000E+00        0.132456E-06        0.146806E-07        0.441322E-06        0.588459E-06        0.802242E-08        0.152308E-08        0.101538E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.489362E-05        0.466853E-04        0.466853E-04        0.418750E-04        0.481023E-05        0.000000E+00        0.469085E-05        0.119384E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00       -0.999000E+03        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160105        0.439993E-04        0.271667E-05        0.190167E-06        0.100517E-05        0.152133E-05        0.732100E-06        0.253949E-05        0.737355E-07        0.255771E-06        0.658365E-06        0.228371E-05        0.140478E-05        0.140478E-05        0.675865E-04        0.954501E-05       -0.580415E-04        0.630587E-04        0.000000E+00        0.143965E-06        0.159439E-07        0.479630E-06        0.639539E-06        0.847069E-08        0.157056E-08        0.117044E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.394409E-05        0.439993E-04        0.439993E-04        0.395919E-04        0.440739E-05        0.000000E+00        0.428861E-05        0.118784E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00       -0.999000E+03        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160106        0.441001E-04        0.271667E-05        0.190167E-06        0.100517E-05        0.152133E-05        0.779555E-06        0.261258E-05        0.785151E-07        0.263134E-06        0.701040E-06        0.234945E-05        0.161069E-05        0.161069E-05        0.662120E-04        0.848110E-05       -0.577309E-04        0.625192E-04        0.000000E+00        0.153767E-06        0.170158E-07        0.512248E-06        0.683032E-06        0.895410E-08        0.162189E-08        0.133718E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.354210E-05        0.441001E-04        0.441001E-04        0.397587E-04        0.434138E-05        0.000000E+00        0.422311E-05        0.118260E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00       -0.999000E+03        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160107        0.399046E-04        0.271667E-05        0.190167E-06        0.100517E-05        0.152133E-05        0.810291E-06        0.271409E-05        0.816108E-07        0.273357E-06        0.728681E-06        0.244073E-05        0.180564E-05        0.180564E-05        0.619296E-04        0.810090E-05       -0.538287E-04        0.579304E-04        0.000000E+00        0.156112E-06        0.172606E-07        0.520016E-06        0.693389E-06        0.945735E-08        0.167538E-08        0.151050E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.342392E-05        0.399046E-04        0.399046E-04        0.358155E-04        0.408909E-05        0.000000E+00        0.397132E-05        0.117774E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00       -0.999000E+03        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160108        0.375479E-04        0.271667E-05        0.190167E-06        0.100517E-05        0.152133E-05        0.845592E-06        0.281183E-05        0.851661E-07        0.283202E-06        0.760425E-06        0.252863E-05        0.200681E-05        0.200681E-05        0.586462E-04        0.773955E-05       -0.509066E-04        0.553594E-04        0.000000E+00        0.159858E-06        0.176588E-07        0.532446E-06        0.709963E-06        0.996923E-08        0.172978E-08        0.168665E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.330562E-05        0.375479E-04        0.375479E-04        0.336005E-04        0.394738E-05        0.000000E+00        0.383008E-05        0.117302E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00       -0.999000E+03        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160109        0.350922E-04        0.470000E-05        0.329000E-06        0.173900E-05        0.263200E-05        0.877307E-06        0.291805E-05        0.883604E-07        0.293900E-06        0.788946E-06        0.262416E-05        0.220546E-05        0.220546E-05        0.551039E-04        0.758207E-05       -0.475218E-04        0.529133E-04        0.000000E+00        0.161879E-06        0.178682E-07        0.539135E-06        0.718882E-06        0.104894E-07        0.178505E-08        0.186553E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.327308E-05        0.350922E-04        0.350922E-04        0.312678E-04        0.382445E-05        0.000000E+00        0.370761E-05        0.116841E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00       -0.999000E+03        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160110        0.368141E-04        0.470000E-05        0.329000E-06        0.173900E-05        0.263200E-05        0.934218E-06        0.299253E-05        0.940923E-07        0.301401E-06        0.840125E-06        0.269113E-05        0.243908E-05        0.243908E-05        0.547419E-04        0.689856E-05       -0.478433E-04        0.543913E-04        0.000000E+00        0.172973E-06        0.190810E-07        0.576049E-06        0.768104E-06        0.110297E-07        0.184250E-08        0.205108E-07        0.000000E+00        0.000000E+00        0.000000E+00        0.299417E-05        0.368141E-04        0.368141E-04        0.329300E-04        0.388411E-05        0.000000E+00        0.376771E-05        0.116398E-06        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00       -0.999000E+03        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
