 Simulation_Period = 20160101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day               kPOM1               kPOM2                kMOM                kDOM                kMBA             kMBA_in                kMBD             kMBD_in                 kMB              kMB_in                 phi     Active_Fraction                 CUE                 NUE              TM_err               TMbeg               TMend              TOTinp              TOTout                 STP                 SWC                 SWP                  pH                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
  20160101        0.149125E-05        0.526042E-04        0.122250E-05        0.416783E-02        0.580708E-01        0.170167E+00        0.311500E-02        0.000000E+00        0.329229E-02        0.495146E-02        0.840417E+00        0.578000E-01        0.335167E+00        0.100000E+01       -0.126250E-16        0.123750E+01        0.123708E+01        0.272000E-05        0.838292E-04        0.564000E+01        0.285000E+00        0.000000E+00        0.640000E+01
  20160102        0.152750E-05        0.527875E-04        0.130333E-05        0.308542E-01        0.481083E-01        0.836000E-01        0.243167E-02        0.000000E+00        0.843875E-02        0.125329E-01        0.644417E+00        0.180333E+00        0.328000E+00        0.100000E+01        0.466583E-16        0.123000E+01        0.123000E+01        0.272000E-05        0.229917E-03        0.619000E+01        0.283000E+00        0.000000E+00        0.640000E+01
  20160103        0.159625E-05        0.537792E-04        0.148167E-05        0.109667E+00        0.180267E-01        0.289167E-01        0.881792E-03        0.000000E+00        0.489625E-02        0.720375E-02        0.230454E+00        0.279417E+00        0.322458E+00        0.100000E+01        0.214750E-16        0.123000E+01        0.123000E+01        0.272000E-05        0.143754E-03        0.651000E+01        0.284000E+00        0.000000E+00        0.640000E+01
  20160104        0.169125E-05        0.552042E-04        0.172667E-05        0.154458E+00        0.500792E-02        0.776208E-02        0.236917E-03        0.000000E+00        0.154625E-02        0.223208E-02        0.601875E-01        0.308542E+00        0.315208E+00        0.100000E+01        0.360583E-16        0.122292E+01        0.122250E+01        0.272000E-05        0.466792E-04        0.688000E+01        0.283000E+00        0.000000E+00        0.640000E+01
  20160105        0.180750E-05        0.566250E-04        0.200042E-05        0.176292E+00        0.445208E-02        0.670167E-02        0.193125E-03        0.000000E+00        0.143750E-02        0.203083E-02        0.475792E-01        0.322250E+00        0.302000E+00        0.100000E+01        0.162417E-16        0.122000E+01        0.122000E+01        0.272000E-05        0.439875E-04        0.769000E+01        0.282000E+00        0.000000E+00        0.640000E+01
  20160106        0.192500E-05        0.583042E-04        0.229417E-05        0.193375E+00        0.424333E-02        0.627583E-02        0.174667E-03        0.000000E+00        0.142250E-02        0.198667E-02        0.422875E-01        0.334500E+00        0.295000E+00        0.100000E+01        0.301522E-16        0.122000E+01        0.122000E+01        0.272000E-05        0.441083E-04        0.817000E+01        0.277000E+00        0.000000E+00        0.640000E+01
  20160107        0.200083E-05        0.606250E-04        0.257083E-05        0.187500E+00        0.366917E-02        0.556042E-02        0.169750E-03        0.000000E+00        0.127250E-02        0.181625E-02        0.423792E-01        0.345958E+00        0.311000E+00        0.100000E+01        0.222917E-16        0.122000E+01        0.122000E+01        0.272000E-05        0.399042E-04        0.713000E+01        0.278000E+00        0.000000E+00        0.640000E+01
  20160108        0.208833E-05        0.628667E-04        0.285750E-05        0.186875E+00        0.330750E-02        0.508750E-02        0.164708E-03        0.000000E+00        0.118417E-02        0.171250E-02        0.419333E-01        0.356958E+00        0.322000E+00        0.100000E+01        0.133350E-16        0.122000E+01        0.122000E+01        0.272000E-05        0.375542E-04        0.646000E+01        0.277000E+00        0.000000E+00        0.640000E+01
  20160109        0.216708E-05        0.652917E-04        0.314083E-05        0.182208E+00        0.296792E-02        0.467417E-02        0.163792E-03        0.000000E+00        0.109417E-02        0.161708E-02        0.429167E-01        0.367458E+00        0.337000E+00        0.100000E+01        0.165779E-16        0.122000E+01        0.122000E+01        0.470000E-05        0.351000E-04        0.551000E+01        0.277000E+00        0.000000E+00        0.640000E+01
  20160110        0.230708E-05        0.670042E-04        0.347375E-05        0.202125E+00        0.299583E-02        0.458750E-02        0.150792E-03        0.000000E+00        0.113458E-02        0.164250E-02        0.383750E-01        0.377667E+00        0.323000E+00        0.100000E+01        0.331125E-16        0.122000E+01        0.122000E+01        0.470000E-05        0.368125E-04        0.637000E+01        0.275000E+00        0.000000E+00        0.640000E+01
