 Simulation_Period = 20160101 -- 20181231                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
       Day                TM_C               TOM_C               SOM_C              POM1_C              POM2_C               MOM_C               QOM_C               DOM_C                MB_C               MBA_C               MBD_C               ENZ_C             ENZP1_C             ENZP2_C              ENZM_C            TM_err_C                 CO2               Nmine                 NH4                 NO3                TM_N               TOM_N               SOM_N              POM1_N              POM2_N               MOM_N               QOM_N               DOM_N                MB_N               MBA_N               MBD_N               ENZ_N             ENZP1_N             ENZP2_N              ENZM_N            TM_err_N               TM_CN              TOM_CN              SOM_CN             POM1_CN             POM2_CN              MOM_CN              QOM_CN              DOM_CN               MB_CN              MBA_CN              MBD_CN              ENZ_CN            ENZP1_CN            ENZP2_CN             ENZM_CN           TM_err_CN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
         0           0.124E+01           0.124E+01           0.116E+01           0.405E+00           0.450E-01           0.702E+00           0.709E-02           0.520E-01           0.250E-01           0.250E-03           0.248E-01           0.110E-03           0.500E-04           0.100E-04           0.500E-04           0.170-312           0.000E+00           0.170-312           0.296-322           0.848-313           0.695-309           0.695-309           0.000E+00           0.000E+00           0.356-321           0.637-313           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.000E+00           0.695-309           0.212-312           0.212-312           0.494-323           0.695-309           0.170-312           0.170-312           0.601-153           0.000E+00           0.000E+00           0.296-322           0.000E+00           0.262-321           0.212-312           0.695-309           0.212-313           0.257-321           0.257-321           0.170-312                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
  20160101        0.123539E+01        0.123539E+01        0.117506E+01        0.404995E+00        0.449830E-01        0.701933E+00        0.231477E-01        0.348451E-01        0.253785E-01        0.158957E-02        0.237890E-01        0.110575E-03        0.500841E-04        0.100014E-04        0.504899E-04       -0.126230E-16        0.751547E-03        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160102        0.123148E+01        0.123148E+01        0.119142E+01        0.404985E+00        0.449503E-01        0.701976E+00        0.395114E-01        0.126099E-01        0.273355E-01        0.510699E-02        0.222285E-01        0.114814E-03        0.509511E-04        0.100823E-04        0.537805E-04        0.467144E-16        0.472668E-02        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160103        0.122653E+01        0.122653E+01        0.119461E+01        0.404974E+00        0.449170E-01        0.702018E+00        0.427005E-01        0.204777E-02        0.297474E-01        0.838711E-02        0.213603E-01        0.124503E-03        0.530453E-04        0.102994E-04        0.611586E-04        0.215019E-16        0.974545E-02        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160104        0.122475E+01        0.122475E+01        0.119357E+01        0.404963E+00        0.448824E-01        0.702058E+00        0.416691E-01        0.433637E-03        0.306035E-01        0.946260E-02        0.211409E-01        0.137476E-03        0.558789E-04        0.105983E-04        0.709983E-04        0.360565E-16        0.115929E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160105        0.122375E+01        0.122375E+01        0.119218E+01        0.404950E+00        0.448463E-01        0.702096E+00        0.402894E-01        0.356158E-03        0.310619E-01        0.100263E-01        0.210356E-01        0.151747E-03        0.590053E-04        0.109295E-04        0.818118E-04        0.162409E-16        0.126532E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160106        0.122276E+01        0.122276E+01        0.119078E+01        0.404937E+00        0.448086E-01        0.702132E+00        0.388997E-01        0.322107E-03        0.314949E-01        0.105516E-01        0.209433E-01        0.167092E-03        0.623742E-04        0.112873E-04        0.934309E-04        0.301374E-16        0.137094E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160107        0.122182E+01        0.122182E+01        0.118942E+01        0.404922E+00        0.447688E-01        0.702165E+00        0.375624E-01        0.308574E-03        0.319138E-01        0.110565E-01        0.208573E-01        0.183015E-03        0.658736E-04        0.116592E-04        0.105482E-03        0.223149E-16        0.147114E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160108        0.122096E+01        0.122096E+01        0.118814E+01        0.404907E+00        0.447265E-01        0.702197E+00        0.363075E-01        0.295779E-03        0.323273E-01        0.115535E-01        0.207738E-01        0.199207E-03        0.694343E-04        0.120376E-04        0.117735E-03        0.134147E-16        0.156405E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
  20160109        0.122018E+01        0.122018E+01        0.118694E+01        0.404892E+00        0.446910E-01        0.702227E+00        0.351280E-01        0.290433E-03        0.327369E-01        0.120447E-01        0.206922E-01        0.215644E-03        0.730508E-04        0.124219E-04        0.130172E-03        0.165476E-16        0.165093E-01        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00        0.000000E+00
